Genome	Completeness (%)	Contamination (%)	G+C (%)	Genome size (bp)	97% ANI cluster representative	Named subclade	Clade name	genome_acc	biosample_accession
AD3_bog_835	73.82	2.24	70.5472927689521	2415001	73.20111000_S2M.16	Ca. Changshengia	AD3	PMPA00000000	SAMN08178800
AD3_bog_836	91.92	1.39	70.1508628520693	2342948	73.20120800_E1D.24	Ca. Changshengia	AD3	PMRE00000000	SAMN08178857
AD3_bog_843	72.43	1.23	70.8621064920161	1974741	73.20111000_S2M.16	Ca. Changshengia	AD3	PLFT00000000	SAMN08179227
AD3_bog_852	78.47	1.54	70.5197745222964	2257498	73.20120700_S1D.18	Ca. Changshengia	AD3	PLAX00000000	SAMN08179358
AD3_bog_853	72.04	1.39	70.6411388189402	2198778	73.20111000_S2M.16	Ca. Changshengia	AD3	PLAW00000000	SAMN08179359
AD3_bog_854	87.29	0	70.516539401925	2261310	73.20111000_S2M.16	Ca. Changshengia	AD3	PLAK00000000	SAMN08179371
AD3_bog_855	85.6	0	70.4571035764464	2155692	73.20111000_S2M.16	Ca. Changshengia	AD3	PKZZ00000000	SAMN08179382
AD3_bog_867	82.3	0	70.9973808696864	1896949	73.20111000_S2M.16	Ca. Changshengia	AD3	PMGH00000000	SAMN08179665
AD3_bog_868	83.64	0.24	70.7120819651776	2324561	73.20111000_S2M.16	Ca. Changshengia	AD3	PMFC00000000	SAMN08179696
AD3_bog_876	80.2	1.66	70.6037743968963	2189475	73.20120700_S1D.18	Ca. Changshengia	AD3	PLTQ00000000	SAMN08179941
AD3_bog_877	75.78	1.67	68.5102369083527	3291016	73.20120700_S1D.200	Ca. Changshengia	AD3	PLTL00000000	SAMN08179946
AD3_bog_880	73.84	0.93	70.5916707113065	2266413	73.20111000_S2M.16	Ca. Changshengia	AD3	PLKC00000000	SAMN08180191
AD3_fen_839	86.27	3.24	70.1322640619951	3026794	73.20110800_E2D.52	Ca. Changshengia	AD3	PMYJ00000000	SAMN08179049
AD3_fen_878	95.83	0.1	70.2261727311724	2554780	73.20120800_E1D.24	Ca. Changshengia	AD3	PLOF00000000	SAMN08180083
AD3_fen_879	89.27	2.16	70.1003809923034	3088414	73.20120800_E2D.47	Ca. Changshengia	AD3	PLNE00000000	SAMN08180111
AD3_palsa_834	97.58	0	66.0881525473327	3694353	73.20110600_P1M.3	Ca. Changshengia	AD3	PMOL00000000	SAMN08178784
AD3_palsa_837	87.31	2.78	66.7958653411658	3543500	73.20120700_P3D.21	Ca. Changshengia	AD3	PMTE00000000	SAMN08178909
AD3_palsa_838	84.13	0.31	66.4612045077919	2954572	73.20120500_P15.8	Ca. Changshengia	AD3	PMUQ00000000	SAMN08178948
AD3_palsa_840	98.41	2.78	65.2687473759237	3694458	73.20110800_P1D.25	Ca. Changshengia	AD3	PNAG00000000	SAMN08179099
AD3_palsa_841	100	0	64.2935696687221	3284796	73.20110800_P1M.6	Ca. Changshengia	AD3	PNAN00000000	SAMN08179106
AD3_palsa_842	100	0	64.2617701991413	3298277	73.20110800_P1M.6	Ca. Changshengia	AD3	PLJM00000000	SAMN08179127
AD3_palsa_844	85.29	2.05	66.4767910036792	2805378	73.20111000_P1M.26	Ca. Changshengia	AD3	PLDZ00000000	SAMN08179274
AD3_palsa_845	71.59	0	67.6624984984472	1645876	73.20120500_P26.6	Ca. Changshengia	AD3	PLDL00000000	SAMN08179289
AD3_palsa_846	77.7	2.4	65.7596402630436	1918277	73.20111000_P2M.19	Ca. Changshengia	AD3	PLDE00000000	SAMN08179296
AD3_palsa_847	97.38	1.85	66.3036137553835	4323382	73.20120700_P3D.21	Ca. Changshengia	AD3	PLCX00000000	SAMN08179303
AD3_palsa_848	79.04	1.85	67.7359946403153	1714777	73.20120500_P26.6	Ca. Changshengia	AD3	PLCQ00000000	SAMN08179310
AD3_palsa_849	77.69	1.08	64.6454942713477	2451980	73.20110800_P1M.6	Ca. Changshengia	AD3	PLCL00000000	SAMN08179316
AD3_palsa_850	95.23	5.66	65.2655650977448	3656609	73.20110800_P1D.25	Ca. Changshengia	AD3	PLBU00000000	SAMN08179333
AD3_palsa_851	91.81	1.11	66.3902300640797	3600036	73.20111000_P3M.52	Ca. Changshengia	AD3	PNBE00000000	SAMN08179336
AD3_palsa_856	86.95	4.37	67.4543181953455	2293002	73.20120500_P26.6	Ca. Changshengia	AD3	PKZG00000000	SAMN08179401
AD3_palsa_857	91.8	0.31	66.8222749818684	2623731	73.20120500_P15.8	Ca. Changshengia	AD3	PKYW00000000	SAMN08179412
AD3_palsa_858	75.47	0.93	67.8480422975646	2073672	73.20120500_P26.6	Ca. Changshengia	AD3	PKYV00000000	SAMN08179413
AD3_palsa_859	96.93	1.85	66.4781627613408	3204564	73.20120500_P23.17	Ca. Changshengia	AD3	PKXZ00000000	SAMN08179435
AD3_palsa_860	70.38	1.27	65.3467077662578	2074850	73.20120500_P24.24	Ca. Changshengia	AD3	PKXR00000000	SAMN08179443
AD3_palsa_861	84.09	2.81	66.5782532669523	3784730	73.20120700_P3D.21	Ca. Changshengia	AD3	PKXL00000000	SAMN08179449
AD3_palsa_862	89.73	0.93	67.6356762496888	2278668	73.20120500_P26.6	Ca. Changshengia	AD3	PKXE00000000	SAMN08179456
